Date: 2023-11-16 00:08:09.756996, Interval: 3.262, Type:Yawning
Date: 2023-11-16 00:08:13.294952, Interval: 3.538, Type:Normal
Date: 2023-11-16 00:08:14.971117, Interval: 1.028, Type:Yawning
Date: 2023-11-16 00:08:17.872791, Interval: 2.773, Type:Yawning
Date: 2023-11-16 00:16:14.408978, Interval: 13.246, Type:Normal
Date: 2023-11-16 00:16:32.756809, Interval: 17.131, Type:Normal
Date: 2023-11-16 00:16:36.403073, Interval: 2.854, Type:Normal
Date: 2023-11-16 00:16:40.461254, Interval: 3.405, Type:Yawning
Date: 2023-11-16 00:16:43.727762, Interval: 2.349, Type:Normal
Date: 2023-11-16 00:16:47.071885, Interval: 3.344, Type:Yawning
Date: 2023-11-16 00:16:53.016246, Interval: 4.735, Type:Normal
Date: 2023-11-16 00:16:59.281117, Interval: 6.265, Type:Drowsy
Date: 2023-11-16 00:17:01.144257, Interval: 1.863, Type:Normal
Date: 2023-11-16 00:17:04.295186, Interval: 3.151, Type:Yawning
Date: 2023-11-16 00:17:11.076818, Interval: 4.179, Type:Drowsy
Date: 2023-11-16 00:17:12.245295, Interval: 1.168, Type:Normal
Date: 2023-11-16 00:17:19.885121, Interval: 3.122, Type:Drowsy
Date: 2023-11-16 00:17:23.852450, Interval: 3.038, Type:Normal
Date: 2023-11-16 00:19:26.823692, Interval: 3.102, Type:Drowsy
Date: 2023-11-16 00:19:29.553223, Interval: 2.598, Type:Drowsy
Date: 2023-11-16 00:19:31.755141, Interval: 2.073, Type:Drowsy
Date: 2023-11-16 00:19:35.363098, Interval: 2.449, Type:Drowsy
Date: 2023-11-16 00:19:36.394290, Interval: 1.031, Type:Normal
Date: 2023-11-16 00:19:41.712700, Interval: 1.711, Type:Normal
Date: 2023-11-16 00:19:44.475223, Interval: 2.763, Type:Drowsy
Date: 2023-11-16 00:20:00.089722, Interval: 1.295, Type:Normal
Date: 2023-11-16 00:20:02.179890, Interval: 1.035, Type:Normal
Date: 2023-11-16 00:20:09.916807, Interval: 1.052, Type:Normal
Date: 2023-11-16 00:20:15.183285, Interval: 1.214, Type:Normal
Date: 2023-11-16 00:20:44.190561, Interval: 23.61, Type: Eyes not on road
Date: 2023-11-16 00:20:53.929942, Interval: 9.731, Type:Normal
Date: 2023-11-16 00:20:56.688202, Interval: 2.502, Type:Normal
Date: 2023-11-16 00:20:58.284940, Interval: 1.451, Type:Normal
Date: 2023-11-16 00:21:02.411785, Interval: 3.064, Type:Yawning
Date: 2023-11-16 00:21:05.981643, Interval: 1.052, Type:Normal
Date: 2023-11-16 00:21:12.294844, Interval: 4.296, Type:Normal
Date: 2023-11-16 00:21:16.542276, Interval: 3.322, Type:Drowsy
Date: 2023-11-16 00:21:18.017956, Interval: 1.475, Type:Normal
Date: 2023-11-16 00:21:24.445735, Interval: 3.276, Type:Normal
Date: 2023-11-16 00:21:26.141893, Interval: 1.565, Type:Normal
Date: 2023-11-16 00:21:35.640495, Interval: 2.176, Type:Normal
Date: 2023-11-16 00:21:41.187549, Interval: 1.892, Type:Normal
Date: 2023-11-16 00:21:55.684702, Interval: 2.287, Type:Normal
Date: 2023-11-16 14:46:14.770655, Interval: 26.235, Type: Eyes not on road
Date: 2023-11-16 14:46:35.018776, Interval: 19.958, Type:Normal
Date: 2023-11-16 14:46:38.284977, Interval: 3.129, Type:Normal
Date: 2023-11-16 14:46:42.998406, Interval: 3.668, Type:Normal
Date: 2023-11-16 14:48:40.545290, Interval: 9.309, Type:Normal
Date: 2023-11-16 14:48:45.019614, Interval: 2.902, Type:Yawning
Date: 2023-11-16 14:48:47.776831, Interval: 2.62, Type:Normal
Date: 2023-11-16 14:48:53.679588, Interval: 1.038, Type:Normal
Date: 2023-11-16 14:49:03.447336, Interval: 2.238, Type:Normal
Date: 2023-11-16 14:49:04.851248, Interval: 1.267, Type:Normal
Date: 2023-11-16 14:49:10.489460, Interval: 5.113, Type:Drowsy
Date: 2023-11-16 14:55:07.600026, Interval: 2.222, Type:Normal
Date: 2023-11-16 14:55:09.415781, Interval: 1.162, Type:Normal
Date: 2023-11-16 14:55:11.620599, Interval: 2.075, Type:Normal
Date: 2023-11-16 14:55:13.714753, Interval: 1.831, Type:Normal
Date: 2023-11-16 14:55:19.643035, Interval: 1.011, Type:Normal
Date: 2023-11-16 14:55:22.221031, Interval: 1.033, Type:Normal
Date: 2023-11-16 14:55:58.451778, Interval: 24.64, Type: Eyes not on road
Date: 2023-11-16 14:55:59.739734, Interval: 37.032, Type:Normal
Date: 2023-11-16 14:56:06.533265, Interval: 6.663, Type:Normal
Date: 2023-11-16 14:56:10.245678, Interval: 3.572, Type:Normal
Date: 2023-11-16 14:56:13.398262, Interval: 2.897, Type:Normal
Date: 2024-01-24 17:38:41.953288, Interval: 12.097, Type:Normal
Date: 2024-01-24 17:38:46.708768, Interval: 4.557, Type:Normal
Date: 2024-01-24 17:46:44.341793, Interval: 1.352, Type:Normal
